PB6,1,,,SSI2RX,I2C5SCL,,,,T0CCP0,,,,,,,,,,,,,,,
PA4,21,,,SSI0RX,,,,,,,,,,,,,,,,,,,,
PF0,28,,U1RTS,SSI1RX,CAN0RX,,,,T0CCP0,NMI,C0O,,,,,,,,,,,,,
PD7,10,,U2TX,,,,,,WT5CCP1,NMI,,,,,,,,,,,,,,
PA7,24,,,,I2C1SDA,,,,,,,,,,,,,,,,,,,
PD1,62,AIN6,SSI3FSS,SSI1FSS,I2C3SDA,,,,WT2CCP1,,,,,,,,,,,,,,,
PA3,20,,,SSI0FSS,,,,,,,,,,,,,,,,,,,,
PC1,51,,SWDIO,,,,,,T4CCP1,,,,,,,,,,,,,,,
PG2,35,,,,I2C4SCL,,,,T5CCP0,,,,,,,,,,,,,,,
PE5,60,AIN8,U5TX,,I2C2SDA,,,,,CAN0TX,,,,,,,,,,,,,,
PA0,17,,U0RX,,,,,,,,,,,,,,,,,,,,,
PD5,44,,U6TX,,,,,,WT4CCP1,,,,,,,,,,,,,,,
PB1,46,,U1TX,,,,,,T2CCP1,,,,,,,,,,,,,,,
PG5,32,,U2TX,,I2C1SDA,,,,WT0CCP1,,,,,,,,,,,,,,,
PG0,37,,,,I2C3SCL,,,,T4CCP0,,,,,,,,,,,,,,,
PE2,7,AIN1,,,,,,,,,,,,,,,,,,,,,,
PD0,61,AIN7,SSI3CLK,SSI1CLK,I2C3SCL,,,,WT2CCP0,,,,,,,,,,,,,,,
PB3,48,,,,I2C0SDA,,,,T3CCP1,,,,,,,,,,,,,,,
PD3,64,AIN4,SSI3TX,SSI1TX,,,,,WT3CCP1,,,,,,,,,,,,,,,
PE1,8,AIN2,U7TX,,,,,,,,,,,,,,,,,,,,,
PC4,16,C1-,U4RX,U1RX,,,,,WT0CCP0,U1RTS,,,,,,,,,,,,,,
PD2,63,AIN5,SSI3RX,SSI1RX,,,,,WT3CCP0,,,,,,,,,,,,,,,
PA6,23,,,,I2C1SCL,,,,,,,,,,,,,,,,,,,
PC6,14,C0+,U3RX,,,,,,WT1CCP0,,,,,,,,,,,,,,,
PE0,9,AIN3,U7RX,,,,,,,,,,,,,,,,,,,,,
PB7,4,,,SSI2TX,I2C5SDA,,,,T0CCP1,,,,,,,,,,,,,,,
PG1,36,,,,I2C3SDA,,,,T4CCP1,,,,,,,,,,,,,,,
PC3,49,,SWO,,,,,,T5CCP1,,,,,,,,,,,,,,,
PA1,18,,U0TX,,,,,,,,,,,,,,,,,,,,,
PE3,6,AIN0,,,,,,,,,,,,,,,,,,,,,,
PG4,33,,U2RX,,I2C1SCL,,,,WT0CCP0,,,,,,,,,,,,,,,
PE4,59,AIN9,U5RX,,I2C2SCL,,,,,CAN0RX,,,,,,,,,,,,,,
PB5,57,AIN11,,SSI2FSS,,,,,T1CCP1,CAN0TX,,,,,,,,,,,,,,
PC0,52,,SWCLK,,,,,,T4CCP0,,,,,,,,,,,,,,,
PF3,31,,,SSI1FSS,CAN0TX,,,,T1CCP1,,,,,,,TRCLK,,,,,,,,
PF2,30,,,SSI1CLK,,,,,T1CCP0,,,,,,,TRD0,,,,,,,,
PB2,47,,,,I2C0SCL,,,,T3CCP0,,,,,,,,,,,,,,,
PF4,5,,,,,,,,T2CCP0,,,,,,,,,,,,,,,
PC2,50,,TDI,,,,,,T5CCP0,,,,,,,,,,,,,,,
PF1,29,,U1CTS,SSI1TX,,,,,T0CCP1,,C1O,,,,,TRD1,,,,,,,,
PB0,45,,U1RX,,,,,,T2CCP0,,,,,,,,,,,,,,,
PA2,19,,,SSI0CLK,,,,,,,,,,,,,,,,,,,,
PG3,34,,,,I2C4SDA,,,,T5CCP1,,,,,,,,,,,,,,,
PB4,58,AIN10,,SSI2CLK,,,,,T1CCP0,CAN0RX,,,,,,,,,,,,,,
PC7,13,C0-,U3TX,,,,,,WT1CCP1,,,,,,,,,,,,,,,
PD4,43,,U6RX,,,,,,WT4CCP0,,,,,,,,,,,,,,,
PA5,22,,,SSI0TX,,,,,,,,,,,,,,,,,,,,
PD6,53,,U2RX,,,,,,WT5CCP0,,,,,,,,,,,,,,,
PC5,15,C1+,U4TX,U1TX,,,,,WT0CCP1,U1CTS,,,,,,,,,,,,,,
