PB6,1,,,SSI2RX,,M0PWM0,,,T0CCP0,,,,,,,,,,,,,,,
PA4,21,,,SSI0RX,,,,,,,,,,,,,,,,,,,,
PF0,28,,U1RTS,SSI1RX,CAN0RX,,M1PWM4,PHA0,T0CCP0,NMI,C0O,,,,,,,,,,,,,
PD7,10,,U2TX,,,,,PHB0,WT5CCP1,NMI,,,,,,,,,,,,,,
PA7,24,,,,I2C1SDA,,M1PWM3,,,,,,,,,,,,,,,,,
PD1,62,AIN6,SSI3FSS,SSI1FSS,I2C3SDA,M0PWM7,M1PWM1,,WT2CCP1,,,,,,,,,,,,,,,
PA3,20,,,SSI0FSS,,,,,,,,,,,,,,,,,,,,
PC1,51,,SWDIO,,,,,,T4CCP1,,,,,,,,,,,,,,,
PE5,60,AIN8,U5TX,,I2C2SDA,M0PWM5,M1PWM3,,,CAN0TX,,,,,,,,,,,,,,
PA0,17,,U0RX,,,,,,,CAN1RX,,,,,,,,,,,,,,
PD5,44,USB0DP,U6TX,,,,,,WT4CCP1,,,,,,,,,,,,,,,
PB1,46,USB0VBUS,U1TX,,,,,,T2CCP1,,,,,,,,,,,,,,,
PE2,7,AIN1,,,,,,,,,,,,,,,,,,,,,,
PD0,61,AIN7,SSI3CLK,SSI1CLK,I2C3SCL,M0PWM6,M1PWM0,,WT2CCP0,,,,,,,,,,,,,,,
PB3,48,,,,I2C0SDA,,,,T3CCP1,,,,,,,,,,,,,,,
PD3,64,AIN4,SSI3TX,SSI1TX,,,,IDX0,WT3CCP1,USB0PFLT,,,,,,,,,,,,,,
PE1,8,AIN2,U7TX,,,,,,,,,,,,,,,,,,,,,
PC4,16,C1-,U4RX,U1RX,,M0PWM6,,IDX1,WT0CCP0,U1RTS,,,,,,,,,,,,,,
PD2,63,AIN5,SSI3RX,SSI1RX,,M0FAULT0,,,WT3CCP0,USB0EPEN,,,,,,,,,,,,,,
PA6,23,,,,I2C1SCL,,M1PWM2,,,,,,,,,,,,,,,,,
PC6,14,C0+,U3RX,,,,,PHB1,WT1CCP0,USB0EPEN,,,,,,,,,,,,,,
PE0,9,AIN3,U7RX,,,,,,,,,,,,,,,,,,,,,
PB7,4,,,SSI2TX,,M0PWM1,,,T0CCP1,,,,,,,,,,,,,,,
PC3,49,,SWO,,,,,,T5CCP1,,,,,,,,,,,,,,,
PA1,18,,U0TX,,,,,,,CAN1TX,,,,,,,,,,,,,,
PE3,6,AIN0,,,,,,,,,,,,,,,,,,,,,,
PE4,59,AIN9,U5RX,,I2C2SCL,M0PWM4,M1PWM2,,,CAN0RX,,,,,,,,,,,,,,
PB5,57,AIN11,,SSI2FSS,,M0PWM3,,,T1CCP1,CAN0TX,,,,,,,,,,,,,,
PC0,52,,SWCLK,,,,,,T4CCP0,,,,,,,,,,,,,,,
PF3,31,,,SSI1FSS,CAN0TX,,M1PWM7,,T1CCP1,,,,,,,TRCLK,,,,,,,,
PF2,30,,,SSI1CLK,,M0FAULT0,M1PWM6,,T1CCP0,,,,,,,TRD0,,,,,,,,
PB2,47,,,,I2C0SCL,,,,T3CCP0,,,,,,,,,,,,,,,
PF4,5,,,,,,M1FAULT0,IDX0,T2CCP0,USB0EPEN,,,,,,,,,,,,,,
PC2,50,,TDI,,,,,,T5CCP0,,,,,,,,,,,,,,,
PF1,29,,U1CTS,SSI1TX,,,M1PWM5,PHB0,T0CCP1,,C1O,,,,,TRD1,,,,,,,,
PB0,45,USB0ID,U1RX,,,,,,T2CCP0,,,,,,,,,,,,,,,
PA2,19,,,SSI0CLK,,,,,,,,,,,,,,,,,,,,
PB4,58,AIN10,,SSI2CLK,,M0PWM2,,,T1CCP0,CAN0RX,,,,,,,,,,,,,,
PC7,13,C0-,U3TX,,,,,,WT1CCP1,USB0PFLT,,,,,,,,,,,,,,
PD4,43,USB0DM,U6RX,,,,,,WT4CCP0,,,,,,,,,,,,,,,
PA5,22,,,SSI0TX,,,,,,,,,,,,,,,,,,,,
PD6,53,,U2RX,,,M0FAULT0,,PHA0,WT5CCP0,,,,,,,,,,,,,,,
PC5,15,C1+,U4TX,U1TX,,M0PWM7,,PHA1,WT0CCP1,U1CTS,,,,,,,,,,,,,,
