PA4,37,,U3RX,I2C7SCL,T2CCP0,,,,,,,,,,,,SSI0XDAT0,,,,,,,
PK4,63,,,I2C3SCL,,,EN0LED0,M0PWM6,,,,,,,,,EPI0S32,,,,,,,
PP1,119,C2-,U6TX,,,,,,,,,,,,,,SSI3XDAT3,,,,,,,
PF0,42,,,,,,EN0LED0,M0PWM0,,,,,,,,SSI3XDAT1,TRD2,,,,,,,
PA7,41,,U2TX,I2C6SDA,T3CCP1,,USB0PFLT,,,,,,USB0EPEN,,SSI0XDAT3,,EPI0S9,,,,,,,
PD1,2,AIN14,,I2C7SDA,T0CCP1,,C1O,,,,,,,,,,SSI2XDAT0,,,,,,,
PL4,85,,,,T0CCP0,,,,,,,,,,,USB0D4,EPI0S26,,,,,,,
PH3,32,,U0DSR,,,,,,,,,,,,,,EPI0S3,,,,,,,
PA3,36,,U4TX,I2C8SDA,T1CCP1,,,,,,,,,,,,SSI0FSS,,,,,,,
PP2,103,,U0DTR,,,,,,,,,,,,,USB0NXT,EPI0S29,,,,,,,
PP0,118,C2+,U6RX,,,,,,,,,,,,,,SSI3XDAT2,,,,,,,
PA0,33,,U0RX,I2C9SCL,T0CCP0,,,,CAN0RX,,,,,,,,,,,,,,,
PK6,61,,,I2C4SCL,,,EN0LED1,M0FAULT1,,,,,,,,,EPI0S25,,,,,,,
PL0,81,,,I2C2SDA,,,,M0FAULT3,,,,,,,,USB0D0,EPI0S16,,,,,,,
PB1,96,USB0VBUS,U1TX,I2C5SDA,T4CCP1,,,,CAN1TX,,,,,,,,,,,,,,,
PG0,49,,,I2C1SCL,,,EN0PPS,M0PWM4,,,,,,,,,EPI0S11,,,,,,,
PK0,18,AIN16,U4RX,,,,,,,,,,,,,,EPI0S0,,,,,,,
PC4,25,C1-,U7RX,,,,,,,,,,,,,,EPI0S7,,,,,,,
PD2,3,AIN13,,I2C8SCL,T1CCP0,,C2O,,,,,,,,,,SSI2FSS,,,,,,,
PA6,40,,U2RX,I2C6SCL,T3CCP0,,USB0EPEN,,,,,,,,SSI0XDAT2,,EPI0S8,,,,,,,
PA1,34,,U0TX,I2C9SDA,T0CCP1,,,,CAN0TX,,,,,,,,,,,,,,,
PL1,82,,,I2C2SCL,,,,PHA0,,,,,,,,USB0D1,EPI0S17,,,,,,,
PE3,12,AIN0,U1DTR,,,,,,,,,,,,,,,,,,,,,
PK1,19,AIN17,U4TX,,,,,,,,,,,,,,EPI0S1,,,,,,,
PP3,104,,U1CTS,U0DCD,,,,,RTCCLK,,,,,,,USB0DIR,EPI0S30,,,,,,,
PE4,123,AIN9,U1RI,,,,,,,,,,,,,,SSI1XDAT0,,,,,,,
PP5,106,,U3CTS,I2C2SCL,,,,,,,,,,,,USB0D6,,,,,,,,
PL5,86,,,,T0CCP1,,,,,,,,,,,USB0D5,EPI0S33,,,,,,,
PN5,112,,U1RI,U3CTS,I2C2SCL,,,,,,,,,,,,EPI0S35,,,,,,,
PM1,77,,,,T2CCP1,,,,,,,,,,,,EPI0S14,,,,,,,
PB2,91,,,I2C0SCL,T5CCP0,,,,,,,,,,,USB0STP,EPI0S27,,,,,,,
PL6,94,USB0DP,,,T1CCP0,,,,,,,,,,,,,,,,,,,
PN3,110,,U1DSR,U2CTS,,,,,,,,,,,,,EPI0S30,,,,,,,
PC2,98,,TDI,,,,,,,,,,,,,,,,,,,,,
PN4,111,,U1DTR,U3RTS,I2C2SDA,,,,,,,,,,,,EPI0S34,,,,,,,
PK7,60,,U0RI,I2C4SDA,,,RTCCLK,M0FAULT2,,,,,,,,,EPI0S24,,,,,,,
PC7,22,C0-,U5TX,,,,,,,,,,,,,,EPI0S4,,,,,,,
PQ1,6,,,,,,,,,,,,,,,SSI3FSS,EPI0S21,,,,,,,
PD7,128,AIN4,U2CTS,,T4CCP1,,USB0PFLT,,,NMI,,,,,,,SSI2XDAT2,,,,,,,
PJ1,117,,U3TX,,,,,,,,,,,,,,,,,,,,,
PL7,93,USB0DM,,,T1CCP1,,,,,,,,,,,,,,,,,,,
PC1,99,,SWDIO,,,,,,,,,,,,,,,,,,,,,
PL2,83,,,,,,C0O,PHB0,,,,,,,,USB0D2,EPI0S18,,,,,,,
PL3,84,,,,,,C1O,IDX0,,,,,,,,USB0D3,EPI0S19,,,,,,,
PM3,75,,,,T3CCP1,,,,,,,,,,,,EPI0S12,,,,,,,
PJ0,116,,U3RX,,,,EN0PPS,,,,,,,,,,,,,,,,,
PQ0,5,,,,,,,,,,,,,,,SSI3CLK,EPI0S20,,,,,,,
PE5,124,AIN8,,,,,,,,,,,,,,,SSI1XDAT1,,,,,,,
PM0,78,,,,T2CCP0,,,,,,,,,,,,EPI0S15,,,,,,,
PP4,105,,U3RTS,U0DSR,,,,,,,,,,,,USB0D7,,,,,,,,
PH0,29,,U0RTS,,,,,,,,,,,,,,EPI0S0,,,,,,,
PD5,126,AIN6,U2TX,,T3CCP1,,,,,,,,,,,,SSI1XDAT3,,,,,,,
PD0,1,AIN15,,I2C7SCL,T0CCP0,,C0O,,,,,,,,,,SSI2XDAT1,,,,,,,
PE2,13,AIN1,U1DCD,,,,,,,,,,,,,,,,,,,,,
PQ2,11,,,,,,,,,,,,,,,SSI3XDAT0,EPI0S22,,,,,,,
PM2,76,,,,T3CCP0,,,,,,,,,,,,EPI0S13,,,,,,,
PB3,92,,,I2C0SDA,T5CCP1,,,,,,,,,,,USB0CLK,EPI0S28,,,,,,,
PD3,4,AIN12,,I2C8SDA,T1CCP1,,,,,,,,,,,,SSI2CLK,,,,,,,
PE1,14,AIN2,U1DSR,,,,,,,,,,,,,,,,,,,,,
PQ3,27,,,,,,,,,,,,,,,SSI3XDAT1,EPI0S23,,,,,,,
PC6,23,C0+,U5RX,,,,,,,,,,,,,,EPI0S5,,,,,,,
PE0,15,AIN3,U1RTS,,,,,,,,,,,,,,,,,,,,,
PG1,50,,,I2C1SDA,,,,M0PWM5,,,,,,,,,EPI0S10,,,,,,,
PC3,97,,SWO,,,,,,,,,,,,,,,,,,,,,
PQ4,102,,U1RX,,,,,,DIVSCLK,,,,,,,,,,,,,,,
PH1,30,,U0CTS,,,,,,,,,,,,,,EPI0S1,,,,,,,
PM6,72,TMPR1,U0DSR,,T5CCP0,,,,,,,,,,,,,,,,,,,
PK2,20,AIN18,U4RTS,,,,,,,,,,,,,,EPI0S2,,,,,,,
PC0,100,,SWCLK,,,,,,,,,,,,,,,,,,,,,
PB5,120,AIN11,U0RTS,I2C5SDA,,,,,,,,,,,,,SSI1CLK,,,,,,,
PF3,45,,,,,,,M0PWM3,,,,,,,,SSI3CLK,TRCLK,,,,,,,
PF2,44,,,,,,,M0PWM2,,,,,,,,SSI3FSS,TRD0,,,,,,,
PM7,71,TMPR0,U0RI,,T5CCP1,,,,,,,,,,,,,,,,,,,
PF4,46,,,,,,EN0LED1,M0FAULT0,,,,,,,,SSI3XDAT2,TRD3,,,,,,,
PN0,107,,U1RTS,,,,,,,,,,,,,,,,,,,,,
PB0,95,USB0ID,U1RX,I2C5SCL,T4CCP0,,,,CAN1RX,,,,,,,,,,,,,,,
PF1,43,,,,,,EN0LED2,M0PWM1,,,,,,,,SSI3XDAT0,TRD1,,,,,,,
PA2,35,,U4RX,I2C8SCL,T1CCP0,,,,,,,,,,,,SSI0CLK,,,,,,,
PK5,62,,,I2C3SDA,,,EN0LED2,M0PWM7,,,,,,,,,EPI0S31,,,,,,,
PN2,109,,U1DCD,U2RTS,,,,,,,,,,,,,EPI0S29,,,,,,,
PM5,73,TMPR2,U0DCD,,T4CCP1,,,,,,,,,,,,,,,,,,,
PH2,31,,U0DCD,,,,,,,,,,,,,,EPI0S2,,,,,,,
PB4,121,AIN10,U0CTS,I2C5SCL,,,,,,,,,,,,,SSI1FSS,,,,,,,
PD4,125,AIN7,U2RX,,T3CCP0,,,,,,,,,,,,SSI1XDAT2,,,,,,,
PK3,21,AIN19,U4CTS,,,,,,,,,,,,,,EPI0S3,,,,,,,
PN1,108,,U1CTS,,,,,,,,,,,,,,,,,,,,,
PM4,74,TMPR3,U0CTS,,T4CCP0,,,,,,,,,,,,,,,,,,,
PD6,127,AIN5,U2RTS,,T4CCP0,,USB0EPEN,,,,,,,,,,SSI2XDAT3,,,,,,,
PA5,38,,U3TX,I2C7SDA,T2CCP1,,,,,,,,,,,,SSI0XDAT1,,,,,,,
PC5,24,C1+,U7TX,,,,,,RTCCLK,,,,,,,,EPI0S6,,,,,,,
